CIO Name,Date RR apps closed,Year,Semester,"Round
(RRX)",CIO Category,Amount Requested,Amount Approved,Amount Allocated,Approval Rate,Allocation Rate,Uncategorized Requested,Uncategorized Approved,Renewable Alternatives Requested,Renewable Alternatives Approved,Food: $150/Sem Requested,Food $150/Sem Approved,Food: Essential Requested,Food: Essential Approved,Guest Speakers Honoraria Requested,Guest Speakers Honoraria Approved,Publicity & Advertising Requested,Publicity & Advertising Approved,Services/Entry Fees/Printing Requested,Services/Entry Fees/Printing Approved,Subscriptions Requested,Subscriptions Approved,Lodging Requested,Lodging Approved,Gas Requested,Gas Approved,Rental Car Requested,Rental Car Approved,Bus Requested,Bus Approved,Train Requested,Train Approved,Airfare Requested,Airfare Approved,Public Transportation Requested,Public Transportation Approved,Approved vs Allocated Difference Requested,Approved vs Allocated Difference Approved,NOT FUNDABLE: Misc Expenses Requested,NOT FUNDABLE: Misc Expenses Approved,Fundable: Other Requested,Fundable: Other Approved
New Dominions,8/30/2024,2024,Summer,RR1,Visual & Performing Arts,"$1,500.00 ","$1,500.00 ",$987.50 ,100.00%,65.83%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00","1,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OneWay InterVarsity Christian Fellowship,8/30/2024,2024,Summer,RR1,Religious & Spiritual,$264.89 ,$0.00 ,$0.00 ,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.95,0.00,0.00,0.00
Organization of African Students (OAS),8/30/2024,2024,Summer,RR1,Multicultural,"$31,001.86 ","$13,550.00 ","$6,785.00 ",43.71%,21.89%,0.00,0.00,0.00,0.00,"4,475.40",150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,126.46",0.00,"13,400.00","13,400.00"
Outdoors Club at Darden,8/30/2024,2024,Summer,RR1,Social & Hobby,"$14,167.98 ",$0.00 ,$0.00 ,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,657.88","2,657.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,510.10","10,430.00"
"Outdoors Club at UVA, Ltd. ",8/30/2024,2024,Summer,RR1,Social & Hobby,"$1,514.42 ","$1,511.70 ",$994.52 ,99.82%,65.67%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,514.42","1,511.70"
Pakistani Students' Association,8/30/2024,2024,Summer,RR1,Multicultural,$366.50 ,$150.00 ,$105.00 ,40.93%,28.65%,0.00,0.00,0.00,0.00,209.47,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.03,0.00,0.00,0.00
Pancakes for Parkinson's,8/30/2024,2024,Summer,RR1,Public Service,"$2,792.60 ","$2,440.17 ","$1,529.59 ",87.38%,54.77%,0.00,0.00,0.00,0.00,0.00,0.00,135.27,135.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311.87,0.00,"2,345.46","2,304.90"
Profit With Purpose,8/30/2024,2024,Summer,RR1,Academic & Professional,$846.95 ,$730.00 ,$499.50 ,86.19%,58.98%,0.00,0.00,0.00,0.00,155.80,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,591.15,580.00
Remote Area Medical at the University of Virginia,8/30/2024,2024,Summer,RR1,Academic & Professional,"$2,030.00 ","$1,950.00 ","$1,257.50 ",96.06%,61.95%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,680.00","1,600.00",350.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sharaara at UVA,8/30/2024,2024,Summer,RR1,Club Sport,"$1,810.29 ","$1,810.29 ","$1,173.67 ",100.00%,64.83%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,810.29","1,810.29"
